Job Title,Company,City,State,Rating,Pay rate,Salary_Min,Salary_Max,Estimate
"Data Engineer, AFT BI Content",Amazon.com Services LLC,Bellevue,WA,3.7,Yearly,106000,106000,Employer
Machine Learning Scientist III (Paid Apps Team),Expedia Group,Seattle,WA,3.9,NA,,,NA
Responsible AI Risk Assessment and Measurement (Lead/Senior Manager) - X Delivery,Boston Consulting Group,Seattle,WA,4.2,Yearly,141000,210000,Glassdoor
Software Developer - AI Trainer (Contract),DataAnnotation,Chicago,IL,4.2,Hourly,40.00,40.00,Employer
"Bilingual Patient Scheduling Coordinator (Russian, Polish, Greek, Armenian)",USA Vein Clinics,Chicago,IL,3.8,Yearly,42000,42000,Employer
"Analyst, Data Science","Ventas, Inc.",Chicago,IL,3.3,Yearly,75000,111000,Glassdoor
Data Analyst - Decision Science,Oak Street Health,Chicago,IL,3.7,Yearly,79000,118000,Glassdoor
Data Scientist - Decision Science,Oak Street Health,Chicago,IL,3.7,Yearly,85000,122000,Glassdoor
Conversational AI Specialist,Vail Systems Inc.,Chicago,IL,3.5,NA,,,NA
Data Scientist II,Vail Systems Inc.,Chicago,IL,3.5,Yearly,98000,131000,Glassdoor
Data Management and Reporting Analyst,The University of Chicago,Chicago,IL,4.2,Yearly,59000,85000,Glassdoor
Senior Data Scientist,HDVI,Chicago,IL,4.5,Yearly,127000,168000,Glassdoor
Senior Consultant - Data Science & Analytics,StoneTurn,Chicago,IL,4.5,Yearly,124000,182000,Glassdoor
Data Coordinator,Cook County Sheriff’s Office,Chicago,IL,3.1,Yearly,61000,61000,Employer
"Data Scientist II, Product",User Interviews,Chicago,IL,4.7,Yearly,100000,144000,Glassdoor
Associate Support and Data Market Specialist,Yes Energy,Chicago,IL,4.6,Yearly,60000,75000,Employer
Data Engineer,Predictive Sales AI,Chicago,IL,5.0,Yearly,88000,133000,Glassdoor
Data Engineer,Spectrum Communications & Consulting Inc.,Chicago,IL,4.3,Yearly,84000,128000,Glassdoor
Research Data Scientist,The University of Chicago,Chicago,IL,4.2,Yearly,77000,118000,Glassdoor
VP of Data Strategy,"Buyers Edge Platform, LLC",Chicago,IL,4.2,Yearly,140000,210000,Glassdoor
BI Data Analyst,NielsenIQ,Chicago,IL,3.9,Yearly,80000,117000,Glassdoor
Data Services Analyst - AmeriSpeak,NORC at the University of Chicago,Chicago,IL,3.7,Yearly,59000,88000,Employer
"Entry Level Data Analyst, application via RippleMatch",RippleMatch Opportunities,Chicago,IL,4.2,Yearly,42000,57000,Glassdoor
Data Scientist,PMX,Chicago,IL,3.8,Yearly,97000,165000,Glassdoor
Data Scientist,MessageControl,Chicago,IL,,Yearly,78000,128000,Glassdoor
"Sr. Data Analyst, Finance",Home Chef,Chicago,IL,3.3,Yearly,85000,100000,Employer
Associate Data Scientist / Data Scientist,"Applied Systems, Inc.",Chicago,IL,4.0,Yearly,95000,129000,Glassdoor
Statistician,The University of Chicago,Chicago,IL,4.2,Yearly,60000,101000,Glassdoor
Data Scientist,V15P1TALONNN,Chicago,IL,,NA,,,NA
Data Scientist - Hybrid,Alliant Credit Union,Chicago,IL,3.4,Yearly,129000,174000,Glassdoor
Legal Operations Analyst,McDonald's Corporation,Chicago,IL,3.6,Yearly,57000,77000,Glassdoor
Pulmonary Team Scientist: Computational Science,Northwestern University,Chicago,IL,4.1,NA,,,NA
"SAS Data Programmer, Global Pricing",McDonald's Corporation,Chicago,IL,3.6,Yearly,89000,149000,Glassdoor
Software Developer - AI Trainer (Contract),DataAnnotation,Chicago,IL,4.2,Hourly,40.00,40.00,Employer
"Bilingual Patient Scheduling Coordinator (Russian, Polish, Greek, Armenian)",USA Vein Clinics,Chicago,IL,3.8,Yearly,42000,42000,Employer
"Analyst, Data Science","Ventas, Inc.",Chicago,IL,3.3,Yearly,75000,111000,Glassdoor
Data Analyst - Decision Science,Oak Street Health,Chicago,IL,3.7,Yearly,79000,118000,Glassdoor
Data Scientist - Decision Science,Oak Street Health,Chicago,IL,3.7,Yearly,85000,122000,Glassdoor
Conversational AI Specialist,Vail Systems Inc.,Chicago,IL,3.5,NA,,,NA
Data Scientist II,Vail Systems Inc.,Chicago,IL,3.5,Yearly,98000,131000,Glassdoor
Data Management and Reporting Analyst,The University of Chicago,Chicago,IL,4.2,Yearly,59000,85000,Glassdoor
Senior Data Scientist,HDVI,Chicago,IL,4.5,Yearly,127000,168000,Glassdoor
Senior Consultant - Data Science & Analytics,StoneTurn,Chicago,IL,4.5,Yearly,124000,182000,Glassdoor
Data Coordinator,Cook County Sheriff’s Office,Chicago,IL,3.1,Yearly,61000,61000,Employer
"Data Scientist II, Product",User Interviews,Chicago,IL,4.7,Yearly,100000,144000,Glassdoor
Associate Support and Data Market Specialist,Yes Energy,Chicago,IL,4.6,Yearly,60000,75000,Employer
Data Engineer,Predictive Sales AI,Chicago,IL,5.0,Yearly,88000,133000,Glassdoor
Data Engineer,Spectrum Communications & Consulting Inc.,Chicago,IL,4.3,Yearly,84000,128000,Glassdoor
Research Data Scientist,The University of Chicago,Chicago,IL,4.2,Yearly,77000,118000,Glassdoor
VP of Data Strategy,"Buyers Edge Platform, LLC",Chicago,IL,4.2,Yearly,140000,210000,Glassdoor
BI Data Analyst,NielsenIQ,Chicago,IL,3.9,Yearly,80000,117000,Glassdoor
Data Services Analyst - AmeriSpeak,NORC at the University of Chicago,Chicago,IL,3.7,Yearly,59000,88000,Employer
"Entry Level Data Analyst, application via RippleMatch",RippleMatch Opportunities,Chicago,IL,4.2,Yearly,42000,57000,Glassdoor
Data Scientist,PMX,Chicago,IL,3.8,Yearly,97000,165000,Glassdoor
Data Scientist,MessageControl,Chicago,IL,,Yearly,78000,128000,Glassdoor
"Sr. Data Analyst, Finance",Home Chef,Chicago,IL,3.3,Yearly,85000,100000,Employer
Associate Data Scientist / Data Scientist,"Applied Systems, Inc.",Chicago,IL,4.0,Yearly,95000,129000,Glassdoor
Statistician,The University of Chicago,Chicago,IL,4.2,Yearly,60000,101000,Glassdoor
Data Scientist,V15P1TALONNN,Chicago,IL,,NA,,,NA
Data Scientist - Hybrid,Alliant Credit Union,Chicago,IL,3.4,Yearly,129000,174000,Glassdoor
Legal Operations Analyst,McDonald's Corporation,Chicago,IL,3.6,Yearly,57000,77000,Glassdoor
Pulmonary Team Scientist: Computational Science,Northwestern University,Chicago,IL,4.1,NA,,,NA
"SAS Data Programmer, Global Pricing",McDonald's Corporation,Chicago,IL,3.6,Yearly,89000,149000,Glassdoor
Data Scientist / Portfolio Risk Manager,BMO US,Chicago,IL,3.6,Yearly,73000,135000,Employer
Data Scientist - Contractor,EY,,,3.8,Hourly,120.00,150.00,Employer
Lead Machine Learning Engineer,Peterson Technology Partners,Chicago,IL,4.1,Yearly,107000,157000,Glassdoor
"Senior Manager, Data Science & Analytics (Nordstrom Media Network)",Nordstrom Inc,Chicago,IL,3.6,Yearly,162000,253000,Employer
Healthcare Data Scientist,Diverge Health,Chicago,IL,,Yearly,78000,129000,Glassdoor
Data Engineer,Sky Consulting Inc,Chicago,IL,4.0,Yearly,87000,128000,Glassdoor
DATA SCIENTIST,Big Bright International,Chicago,IL,,Yearly,85000,140000,Glassdoor
Sr. Data Scientist - Risk Adjustment (Hybrid),Homeward,Chicago,IL,3.0,Yearly,87000,114000,Glassdoor
Data Engineer Legends IQ,Legends,Chicago,IL,3.7,Yearly,83000,129000,Glassdoor
Senior Data Analytics Consultant,CIBC,Chicago,IL,3.9,Yearly,100000,139000,Glassdoor
Senior Data Analyst,The Federal Home Loan Bank of Chicago,Chicago,IL,3.5,Yearly,93000,124000,Glassdoor
Senior Data Engineer,Teza Technologies,Chicago,IL,4.3,Yearly,113000,164000,Glassdoor
"Senior Data Analyst, Data Processing - Interactive Services",Ipsos,Chicago,IL,3.4,Yearly,105000,115000,Employer
Data Engineer,bp,Chicago,IL,3.9,Yearly,94000,133000,Glassdoor
"VICE PRESIDENT, DATA ANALYTICS AND REPORTING",Spartan Education,Chicago,IL,3.4,Yearly,120000,150000,Employer
Data Engineer,SpotHero,Chicago,IL,3.9,Yearly,90000,131000,Glassdoor
Senior Data Analyst,Health Intelligence company LLC,Chicago,IL,3.7,Yearly,84000,107000,Glassdoor
Data Analyst: Enterprise,Fooda,Chicago,IL,3.8,Yearly,50000,88000,Glassdoor
Data Architect (Remote Work Schedule),Parts Town,Addison,IL,3.9,Yearly,81000,130000,Glassdoor
Sustainable Sourcing Analyst,Ingredion Incorporated (Corporate),Westchester,IL,4.0,Yearly,93000,139000,Glassdoor
Portfolio Management & Analytics Analyst (Hybrid),Allstate,Chicago,IL,3.4,Yearly,75000,95000,Employer
"Data Analyst, Teaching & Learning",Chicago Public Schools,Chicago,IL,3.5,Yearly,58000,76000,Employer
Statistician 1 - Alzheimer Center - Full-time,RUSH University Medical Center,Chicago,IL,3.7,Yearly,55000,99000,Glassdoor
Lead Data Analyst,Morningstar,Chicago,IL,3.9,Yearly,91000,132000,Glassdoor
"Online Course Instructor - Machine Learning / Data Engineering (Part-Time, Freelance)",DataCamp,Chicago,IL,3.4,Yearly,62000,106000,Glassdoor
Data Scientist,Alliant Credit Union,Chicago,IL,3.4,Yearly,110000,152000,Glassdoor
Postdoc,Illinois Institute of Technology,Chicago,IL,4.0,NA,,,NA
Senior Data Scientist - Supply Chain Science Products (P4017),84.51°,Chicago,IL,3.6,Yearly,83000,117000,Glassdoor
"Lead Data Scientist, Rental",Caterpillar,Chicago,IL,4.0,Yearly,113000,161000,Glassdoor
"Associate, Fan Insights Legends IQ",Legends,Chicago,IL,3.7,NA,,,NA
Senior Statistician (Remote),TARGET RWE,Durham,NC,3.1,Yearly,90000,130000,Employer
"Director, Data Architecture",Fidelity Investments,Durham,NC,4.3,Yearly,137000,183000,Glassdoor
Data Scientist - Contractor,EY,,,3.8,Hourly,120.00,150.00,Employer
Data Domain Specialist,Red Hat Software,Raleigh,NC,4.1,Yearly,101000,137000,Employer
Data Scientist with Wastewater Expertise,Hazen and Sawyer,Raleigh,NC,4.8,Yearly,56000,90000,Glassdoor
GIS & Technology Applications Analyst,Wake County Public School System,Cary,NC,3.4,Yearly,64000,92000,Glassdoor
Strategic Data Analyst,Delta Dental of North Carolina,Raleigh,NC,3.9,Yearly,65000,96000,Glassdoor
Data Analyst / Scientist,UBS,Raleigh,NC,3.9,Yearly,101000,163000,Glassdoor
Senior Data Scientist,Epic Games,Cary,NC,4.0,Yearly,122000,170000,Glassdoor
Lead Auditor - Data and AI,MetLife,Cary,NC,3.9,Yearly,68000,117000,Glassdoor
Equipment Technician 3 (First Shift) #3513,GRAIL,Raleigh,NC,3.4,Yearly,46000,66000,Glassdoor
DATA ANALYST,Durham County,Durham,NC,3.7,Yearly,67000,91000,Employer
Geospatial Data Scientist II,AECOM,Raleigh,NC,3.8,Yearly,75000,85000,Employer
Data Stewardship Analyst- Seeds R&D,Syngenta Seeds,Durham,NC,4.2,Yearly,54000,85000,Glassdoor
Data Insights Analyst,Local Government Federal Credit Union,Raleigh,NC,3.4,Yearly,60000,87000,Glassdoor
Senior Expert Data Science (Process Data Scientist),Novartis,Durham,NC,3.9,Yearly,114000,154000,Glassdoor
Head of Quality Auditing GMP / GDP,UCB,Raleigh,NC,3.9,Yearly,227000,298000,Employer
Senior Security Risk Analyst #3496 (RTP),GRAIL,Raleigh,NC,3.4,Yearly,94000,141000,Glassdoor
Sr. Data Analyst – Infrastructure Security,MetLife,Cary,NC,3.9,Yearly,82000,122000,Glassdoor
Senior Data Discovery and Enrichment Expert I (Hybrid or Remote),RELX,Raleigh,NC,4.0,Yearly,50000,84000,Glassdoor
Data Scientist,Hyperspace Ventures,Durham,NC,4.4,Yearly,87000,136000,Glassdoor
AI Engineer,Hasbro,Raleigh,NC,3.5,Yearly,101000,101000,Employer
"Electronic Data Interface (EDI) Technical Specialist (Full-time Remote, North Carolina based)",Alliance Health,Morrisville,NC,3.7,Yearly,75000,124000,Employer
Statistician I-Temporary Solutions,North Carolina Office of State Human Resources,,,3.8,Hourly,28.73,50.00,Employer
NC Freshwater Applied Scientist,The Nature Conservancy,Durham,NC,4.3,Yearly,78000,88000,Employer
Senior Data Engineer #3013,GRAIL,Raleigh,NC,3.4,Yearly,95000,138000,Glassdoor
Data Reviewer/Senior Research Associate/Associate Scientist,KBI Biopharma,Durham,NC,3.0,Yearly,65000,85000,Employer
Data Scientist,"GAP Solutions, Inc.",Research Triangle Park,NC,4.2,Yearly,77000,128000,Glassdoor
Clinical Data Management Programming Specialist,IDDI - International Drug Development Institute,Raleigh,NC,3.7,Yearly,59000,101000,Glassdoor
Data Scientist – Image Analysis,Sciome,Research Triangle Park,NC,,Yearly,60000,108000,Glassdoor
Senior Statistician (Remote),TARGET RWE,Durham,NC,3.1,Yearly,90000,130000,Employer
"Director, Data Architecture",Fidelity Investments,Durham,NC,4.3,Yearly,137000,183000,Glassdoor
Data Scientist - Contractor,EY,,,3.8,Hourly,120.00,150.00,Employer
Data Domain Specialist,Red Hat Software,Raleigh,NC,4.1,Yearly,101000,137000,Employer
Data Scientist with Wastewater Expertise,Hazen and Sawyer,Raleigh,NC,4.8,Yearly,56000,90000,Glassdoor
GIS & Technology Applications Analyst,Wake County Public School System,Cary,NC,3.4,Yearly,64000,92000,Glassdoor
Strategic Data Analyst,Delta Dental of North Carolina,Raleigh,NC,3.9,Yearly,65000,96000,Glassdoor
Data Analyst / Scientist,UBS,Raleigh,NC,3.9,Yearly,101000,163000,Glassdoor
Senior Data Scientist,Epic Games,Cary,NC,4.0,Yearly,122000,170000,Glassdoor
Lead Auditor - Data and AI,MetLife,Cary,NC,3.9,Yearly,68000,117000,Glassdoor
Equipment Technician 3 (First Shift) #3513,GRAIL,Raleigh,NC,3.4,Yearly,46000,66000,Glassdoor
DATA ANALYST,Durham County,Durham,NC,3.7,Yearly,67000,91000,Employer
Geospatial Data Scientist II,AECOM,Raleigh,NC,3.8,Yearly,75000,85000,Employer
Data Stewardship Analyst- Seeds R&D,Syngenta Seeds,Durham,NC,4.2,Yearly,54000,85000,Glassdoor
Data Insights Analyst,Local Government Federal Credit Union,Raleigh,NC,3.4,Yearly,60000,87000,Glassdoor
Senior Expert Data Science (Process Data Scientist),Novartis,Durham,NC,3.9,Yearly,114000,154000,Glassdoor
Head of Quality Auditing GMP / GDP,UCB,Raleigh,NC,3.9,Yearly,227000,298000,Employer
Senior Security Risk Analyst #3496 (RTP),GRAIL,Raleigh,NC,3.4,Yearly,94000,141000,Glassdoor
Sr. Data Analyst – Infrastructure Security,MetLife,Cary,NC,3.9,Yearly,82000,122000,Glassdoor
Senior Data Discovery and Enrichment Expert I (Hybrid or Remote),RELX,Raleigh,NC,4.0,Yearly,50000,84000,Glassdoor
Data Scientist,Hyperspace Ventures,Durham,NC,4.4,Yearly,87000,136000,Glassdoor
AI Engineer,Hasbro,Raleigh,NC,3.5,Yearly,101000,101000,Employer
"Electronic Data Interface (EDI) Technical Specialist (Full-time Remote, North Carolina based)",Alliance Health,Morrisville,NC,3.7,Yearly,75000,124000,Employer
Statistician I-Temporary Solutions,North Carolina Office of State Human Resources,,,3.8,Hourly,28.73,50.00,Employer
NC Freshwater Applied Scientist,The Nature Conservancy,Durham,NC,4.3,Yearly,78000,88000,Employer
Senior Data Engineer #3013,GRAIL,Raleigh,NC,3.4,Yearly,95000,138000,Glassdoor
Data Reviewer/Senior Research Associate/Associate Scientist,KBI Biopharma,Durham,NC,3.0,Yearly,65000,85000,Employer
Data Scientist,"GAP Solutions, Inc.",Research Triangle Park,NC,4.2,Yearly,77000,128000,Glassdoor
Clinical Data Management Programming Specialist,IDDI - International Drug Development Institute,Raleigh,NC,3.7,Yearly,59000,101000,Glassdoor
Data Scientist – Image Analysis,Sciome,Research Triangle Park,NC,,Yearly,60000,108000,Glassdoor
Data Engineer II,Flagship Biosciences,Morrisville,NC,2.7,Yearly,99000,124000,Employer
"Business Analyst-CHWB (Remote, North Carolina Based)",Alliance Health,Morrisville,NC,3.7,Yearly,62000,104000,Employer
Principal Statistician/Data Scientist,UNC Health,Morrisville,NC,3.7,Hourly,61.79,77.24,Employer
Quantitative Researcher & Data Analyst,Southern Coalition for Social Justice,Durham,NC,,Yearly,55000,70000,Employer
Data & Analytics Delivery Executive,Accenture,Raleigh,NC,3.9,NA,,,NA
Data Scientist,Axle Informatics,Durham,NC,3.5,Yearly,82000,125000,Glassdoor
"Engineering Operations Manager, Strategy #3405",GRAIL,Raleigh,NC,3.4,Yearly,99000,141000,Glassdoor
Senior Defined Benefits Data Analyst,Fidelity Investments,Durham,NC,4.3,Yearly,63000,100000,Employer
Senior Risk Data Analyst,City National Bank,Raleigh,NC,3.6,Yearly,92000,157000,Employer
Customer Technical Support Specialist - Remote,Tandem Diabetes Care Inc.,Raleigh,NC,3.5,Hourly,18.50,21.50,Employer
Operations Engineer 1 (3rd Shift) #3511,GRAIL,Raleigh,NC,3.4,Yearly,61000,98000,Glassdoor
Machine Learning Engineer,Stier Solutions,Durham,NC,3.8,Yearly,103000,160000,Glassdoor
AP Investigations and Data Analytics Manager,Victra,Raleigh,NC,3.0,Yearly,91000,143000,Glassdoor
Research Associate-Data Scientist,University of North Carolina at Chapel Hill,Chapel Hill,NC,4.2,Yearly,74000,85000,Employer
Data Engineer,Genworth,Raleigh,NC,3.9,Yearly,89000,125000,Glassdoor
"Senior Data Analyst, Commercial Analytics",Merz Therapeutics,Raleigh,NC,4.2,Yearly,79000,121000,Glassdoor
Machine Learning Engineer -AI Data Engineer,Infoway solutions LLC,Cary,NC,,Hourly,43.69,65.00,Employer
"Associate Director, Engineering Operations #3406",GRAIL,Raleigh,NC,3.4,Yearly,126000,180000,Glassdoor
Audit Director - Data and AI,MetLife,Cary,NC,3.9,Yearly,172000,207000,Glassdoor
Lead Data Scientist,University of North Carolina at Chapel Hill,Chapel Hill,NC,4.2,Yearly,92000,150000,Glassdoor
AI GTM Process Specialist,Lenovo,Morrisville,NC,3.9,Yearly,71000,108000,Glassdoor
AI Cloud Data Engineer,MetLife,Cary,NC,3.9,Yearly,125000,157000,Glassdoor
Senior Data Engineer,Cloud Software Group,Raleigh,NC,2.3,Yearly,98000,139000,Glassdoor
Lecturer of Data Science,North Carolina State University,Raleigh,NC,4.2,Yearly,120000,209000,Glassdoor
Grant Officer,North Carolina State University,Raleigh,NC,4.2,Yearly,65000,75000,Employer
Statistical Programmer,IDDI - International Drug Development Institute,Raleigh,NC,3.7,Yearly,58000,103000,Glassdoor
Analyst II,AlignTech,Morrisville,NC,3.8,Yearly,67000,91000,Glassdoor
Analytics Engineer,Xperi,Durham,NC,3.9,Yearly,92000,134000,Glassdoor
Associate Data Scientist,YPrime,Raleigh,NC,3.4,Yearly,75000,116000,Glassdoor
"Clinical Laboratory Associate III - Accessioning (4 roles #3660, #3533, #3534, #3535) Day Shift",GRAIL,Durham,NC,3.4,Yearly,58000,102000,Glassdoor
